tweet;replies_count;retweets_count;likes_count
Jokowi dan Biden menjalin kemitraan perubahan iklim dengan pendanaan mencapai hingga USD 50 juta setara Rp780 miliar  #FIFAWorldCup #Qatar2022 WHAT A FINAL WHAT A GAME Emi Martinez Piala Dunia Juara Dunia Maradona Di Maria Ronaldo Prancis Lautaro Menang Dybala Kalah  https://t.co/7IIUEdaesd;0;1;0
Bawaslu RI menggelar Konsolnas dalam rangka memantapkan kinerja dan soliditas jajaran pengawas pemilu.  #FIFAWorldCup #Qatar2022 WHAT A FINAL WHAT A GAME Emi Martinez Piala Dunia Juara Dunia Maradona Di Maria Ronaldo Prancis Lautaro Menang Dybala Kalah  https://t.co/0delUEFxc6;0;1;1
Isi ig story pagi ini final piala dunia semua wkwkk met menang argentina;0;0;0
Selamat hari senin, messi juara piala dunia, yang ga nonton final semalem rugi beratt.;0;0;0
Jokowi beri arahan pada sejumlah pihak termasuk Badan Pengawas Pemilihan Umum atau Bawaslu terkait Pemilu 2024.  #FIFAWorldCup #Qatar2022 WHAT A FINAL WHAT A GAME Emi Martinez Piala Dunia Juara Dunia Maradona Di Maria Ronaldo Prancis Lautaro Menang Dybala Kalah  https://t.co/gKJqJXUGey;0;1;1
Mbappe carry berat prancis, disaat hampir kalah, ni orang bisa hattrick di final piala dunia. masa messi vs c.ronaldo sudah tamat, saatnya masuk ke masa mbappe vs halland;1;0;2
Prancis Kalah Adu Penalti dari Argentina di Final Piala Dunia 2022, Didier Deschamps Sindir La Albiceleste #LengkapCepatBeritanya #Bola #SepakBola #SepakbolaDunia #BolaDunia .  https://t.co/o4GEypJJOL;0;0;2
Melalui pertandingan yang sengit dan diakhiri dengan adu tendangan Penalti, Argentina sukses menjadi Juara Piala Dunia 2022 setelah di partai final mengalahkan Perancis 7-5 (3-3). #Olahraga #AdadiKompas   https://t.co/Mulvu2eyUR;0;0;3
Selamat pagi Sahabat Kompas. Kemenangan Argentina atas Perancis dalam Final Piala Dunia 2022 di Qatar jadi sorotan kami. Gelar itu membawa Messi berada di puncak dunia dan abadi sebagai salah satu pesepak bola terbaik dalam sejarah.   https://t.co/EFRK3dYLel  #AdadiKompas  https://t.co/AiBOLl39Gq;4;22;65
Tweet dari seorang fans Argentina pada 2015. 🤯  Peramal? Time traveler? Bukan.  Hanya bermula dari optimisme dan informasi tanggal final Piala Dunia 2022 via Wikipedia.  https://t.co/ys8Lfh6RwM;4;30;96
Prediksi Final Piala Dunia 2022 | Argentina vs Prancis, Messi vs Mbape  https://t.co/zNkQ1MIadZ - - - #prediksimixparlay #mixparlay #prediksibolahariini #prediksibolamalamini #rumusoverunder #bocoranparlaymalamini #prediksiparlaymalamini #mixparlay;0;0;0
Menurut saya final piala dunia 2022 sangat epik.....;0;0;1
Final Piala Dunia 2022: Susunan Pemain Argentina vs Prancis, Messi dan Mbappe Starter: Timnas Argentina bakal melawan Prancis dalam pertandingan pamungkas Final Piala Dunia 2022 di Lusail Stadium, Minggu (18/12) malam. Tak hanya pertarungan sepak bola…  https://t.co/3FWxTr3Q0P  https://t.co/OdVNyKzS0u;0;0;0
Tiba tiba seluruh twitter rame ngomongin bola, dari yg awalnya tidak tertarik bola sampe yg amg fans sepak bola, pada rame semua, sasuga emang final piala dunia, penyatu seluruh dunia;0;0;0
